sentence,sentiment
Giảng viên hay nghỉ học đột ngột (mẫu UIT-VSFC #610),0
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #3914),2
Đề thi khó hơn nội dung đã học (mẫu UIT-VSFC #1245),0
Cô không giải thích rõ sinh viên hỏi không được (mẫu UIT-VSFC #666),0
Nội dung tạm được không hay không dở (mẫu UIT-VSFC #1193),1
Thầy là người thầy mà em luôn muốn học hỏi và noi theo.,2
Cô không giải thích rõ sinh viên hỏi không được (mẫu UIT-VSFC #2136),0
Môn học tạm ổn đáp ứng yêu cầu (mẫu UIT-VSFC #890),1
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #5126),2
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #6159),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #3895),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #2194),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #941),2
Không có gì nổi bật cũng không tệ (mẫu UIT-VSFC #927),1
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #1871),2
Không có gì nổi bật cũng không tệ (mẫu UIT-VSFC #7),1
Lớp học nóng bức không tập trung được (mẫu UIT-VSFC #1648),0
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #6520),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #362),2
Môn học tạm ổn đáp ứng yêu cầu (mẫu UIT-VSFC #240),1
Môn học rất hay và bổ ích (mẫu UIT-VSFC #4433),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #5095),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #1142),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #1004),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #695),2
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #3399),2
Môn học rất hay và bổ ích (mẫu UIT-VSFC #233),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #901),2
Cô dạy bình thường đúng giáo trình (mẫu UIT-VSFC #56),1
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #5368),2
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #400),2
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #5059),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #2306),2
Môn học rất hay và bổ ích (mẫu UIT-VSFC #2633),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #5101),2
Bài giảng đủ nội dung chấp nhận được (mẫu UIT-VSFC #1524),1
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #6012),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #4448),2
Lớp học nóng bức không tập trung được (mẫu UIT-VSFC #1938),0
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #707),2
"Cô rất cởi mở, sinh viên cảm thấy thoải mái khi hỏi bài.",2
Môn này quá nặng so với tín chỉ (mẫu UIT-VSFC #2467),0
Không có gì nổi bật cũng không tệ (mẫu UIT-VSFC #167),1
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #4121),2
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #5220),2
Giảng viên hay nghỉ học đột ngột (mẫu UIT-VSFC #1060),0
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #5431),2
Cô không giải thích rõ sinh viên hỏi không được (mẫu UIT-VSFC #1946),0
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #869),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #2761),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #5565),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #3055),2
Thầy dạy khó hiểu quá sinh viên không theo kịp (mẫu UIT-VSFC #231),0
Lớp học nóng bức không tập trung được (mẫu UIT-VSFC #2378),0
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #2058),2
Môn này quá nặng so với tín chỉ (mẫu UIT-VSFC #2077),0
Môn học không khó không dễ (mẫu UIT-VSFC #925),1
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #3615),2
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #2200),2
Lớp học nóng bức không tập trung được (mẫu UIT-VSFC #638),0
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #464),0
Môn này quá nặng so với tín chỉ (mẫu UIT-VSFC #577),0
Môn học quá khó bài tập nhiều (mẫu UIT-VSFC #22),0
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #1145),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #3065),2
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #4237),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #5098),2
Giảng viên hay nghỉ học đột ngột (mẫu UIT-VSFC #290),0
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #1496),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #2121),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #3781),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #701),2
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #5700),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #6582),2
Đề thi khó hơn nội dung đã học (mẫu UIT-VSFC #385),0
Giảng viên dạy nhanh quá không hiểu (mẫu UIT-VSFC #283),0
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #4860),2
Lớp học nóng bức không tập trung được (mẫu UIT-VSFC #2438),0
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #3019),0
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #2339),0
Giảng viên dạy nhanh quá không hiểu (mẫu UIT-VSFC #363),0
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #1116),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #4998),2
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #4220),2
Cô không giải thích rõ sinh viên hỏi không được (mẫu UIT-VSFC #2806),0
Lớp học nóng bức không tập trung được (mẫu UIT-VSFC #2058),0
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #3625),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #1964),2
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #1164),0
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #3517),2
Nội dung tạm được không hay không dở (mẫu UIT-VSFC #83),1
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #3514),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #3646),2
Giảng viên hay nghỉ học đột ngột (mẫu UIT-VSFC #1250),0
Môn này quá nặng so với tín chỉ (mẫu UIT-VSFC #2147),0
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #2692),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #4176),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #2314),2
Đề thi khó hơn nội dung đã học (mẫu UIT-VSFC #2205),0
Chương trình học bình thường (mẫu UIT-VSFC #1678),1
Giảng viên hay nghỉ học đột ngột (mẫu UIT-VSFC #790),0
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #2489),2
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #2964),0
Thầy dạy khó hiểu quá sinh viên không theo kịp (mẫu UIT-VSFC #531),0
Giảng viên hay nghỉ học đột ngột (mẫu UIT-VSFC #430),0
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #2214),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #678),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #2902),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #3224),2
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #2599),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #5161),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #6144),2
Cô dạy bình thường đúng giáo trình (mẫu UIT-VSFC #476),1
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #2057),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #1715),2
Môn học bình thường không có gì đặc biệt (mẫu UIT-VSFC #661),1
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #4655),2
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #5449),2
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #3297),2
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #2209),2
Cô không giải thích rõ sinh viên hỏi không được (mẫu UIT-VSFC #2306),0
Thầy dạy khó hiểu quá sinh viên không theo kịp (mẫu UIT-VSFC #1281),0
Cô dạy bình thường đúng giáo trình (mẫu UIT-VSFC #1416),1
Cô không giải thích rõ sinh viên hỏi không được (mẫu UIT-VSFC #1906),0
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #4994),2
Môn học bình thường không có gì đặc biệt (mẫu UIT-VSFC #1271),1
Thầy dạy khó hiểu quá sinh viên không theo kịp (mẫu UIT-VSFC #491),0
Nội dung tạm được không hay không dở (mẫu UIT-VSFC #1463),1
Nội dung tạm được không hay không dở (mẫu UIT-VSFC #43),1
Em sẽ giới thiệu môn học này cho các bạn khóa sau.,2
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #319),0
Lớp học nóng bức không tập trung được (mẫu UIT-VSFC #1768),0
Đề thi khó hơn nội dung đã học (mẫu UIT-VSFC #3045),0
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #760),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #2885),2
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #1129),0
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #4157),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #5011),2
Thầy dạy khó hiểu quá sinh viên không theo kịp (mẫu UIT-VSFC #591),0
Môn học này là nguyên nhân chính khiến em bị căng thẳng trong kỳ.,0
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #4492),2
Không có gì nổi bật cũng không tệ (mẫu UIT-VSFC #997),1
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #6316),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #2858),2
Môn này quá nặng so với tín chỉ (mẫu UIT-VSFC #2477),0
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #5019),2
Cô dạy bình thường đúng giáo trình (mẫu UIT-VSFC #146),1
Đề thi khó hơn nội dung đã học (mẫu UIT-VSFC #305),0
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #1274),2
Môn học rất hay và bổ ích (mẫu UIT-VSFC #553),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #2571),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #545),2
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #889),0
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #1897),2
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #4279),2
"Môn học cung cấp đủ kiến thức cần thiết, dù không hứng thú lắm.",1
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #6280),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #2295),2
Môn học không khó không dễ (mẫu UIT-VSFC #1365),1
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #1684),0
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #4104),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #6311),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #5442),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #4764),2
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #909),0
Môn học rất hay và bổ ích (mẫu UIT-VSFC #2563),2
Môn học rất hay và bổ ích (mẫu UIT-VSFC #183),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #3088),2
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #219),2
Cô không giải thích rõ sinh viên hỏi không được (mẫu UIT-VSFC #2976),0
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #1764),0
Giảng viên hay nghỉ học đột ngột (mẫu UIT-VSFC #2350),0
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #882),2
Giảng viên hay nghỉ học đột ngột (mẫu UIT-VSFC #1370),0
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #4141),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #2098),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #6021),2
Môn này quá nặng so với tín chỉ (mẫu UIT-VSFC #517),0
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #3577),2
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #979),0
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #1361),2
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #704),0
Giảng viên dạy nhanh quá không hiểu (mẫu UIT-VSFC #1023),0
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #848),2
Chương trình học bình thường (mẫu UIT-VSFC #338),1
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #4922),2
Giảng viên hay nghỉ học đột ngột (mẫu UIT-VSFC #1880),0
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #4627),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #1156),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #142),2
Môn học rất hay và bổ ích (mẫu UIT-VSFC #4213),2
Cô không giải thích rõ sinh viên hỏi không được (mẫu UIT-VSFC #836),0
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #3956),2
Giảng viên dạy nhanh quá không hiểu (mẫu UIT-VSFC #63),0
Môn học quá khó bài tập nhiều (mẫu UIT-VSFC #1012),0
Thầy dạy khó hiểu quá sinh viên không theo kịp (mẫu UIT-VSFC #691),0
Giảng viên dạy ổn theo chương trình (mẫu UIT-VSFC #392),1
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #2868),2
Môn học bình thường không có gì đặc biệt (mẫu UIT-VSFC #1621),1
Lớp học nóng bức không tập trung được (mẫu UIT-VSFC #1268),0
Giảng viên hay nghỉ học đột ngột (mẫu UIT-VSFC #1380),0
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #2334),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #4526),2
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #1844),0
"Giảng viên thực hiện đúng kế hoạch giảng dạy, không sai sót lớn.",1
Thầy dạy khó hiểu quá sinh viên không theo kịp (mẫu UIT-VSFC #2921),0
Môn học quá khó bài tập nhiều (mẫu UIT-VSFC #12),0
Giảng viên hay nghỉ học đột ngột (mẫu UIT-VSFC #2550),0
"Môn học ở mức tạm ổn, đủ để tích lũy kiến thức cơ bản cho ngành.",1
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #220),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #278),2
Giảng viên dạy ổn theo chương trình (mẫu UIT-VSFC #1642),1
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #4227),2
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #724),0
Thầy dạy khó hiểu quá sinh viên không theo kịp (mẫu UIT-VSFC #2941),0
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #645),2
"Giảng viên có năng lực bình thường, môn học ở mức chấp nhận được.",1
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #3647),2
Giảng viên dạy nhanh quá không hiểu (mẫu UIT-VSFC #1453),0
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #4955),2
Môn học không khó không dễ (mẫu UIT-VSFC #675),1
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #3320),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #3036),2
Giảng viên dạy nhanh quá không hiểu (mẫu UIT-VSFC #2073),0
Chương trình học bình thường (mẫu UIT-VSFC #268),1
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #4149),2
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #4747),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #881),2
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #3530),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #6542),2
Giảng viên hay nghỉ học đột ngột (mẫu UIT-VSFC #1450),0
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #1275),2
Môn học bình thường không có gì đặc biệt (mẫu UIT-VSFC #1331),1
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #5842),2
Bài giảng đủ nội dung chấp nhận được (mẫu UIT-VSFC #1364),1
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #5336),2
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #6557),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #3832),2
Lớp học nóng bức không tập trung được (mẫu UIT-VSFC #2248),0
Môn học tạm ổn đáp ứng yêu cầu (mẫu UIT-VSFC #1270),1
Thầy dạy khó hiểu quá sinh viên không theo kịp (mẫu UIT-VSFC #1061),0
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #6510),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #2834),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #1836),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #245),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #6206),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #2196),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #5216),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #1614),2
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #3549),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #1058),2
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #2534),0
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #3830),2
Thầy dạy đủ bài không thiếu nội dung (mẫu UIT-VSFC #619),1
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #1914),0
Cô không giải thích rõ sinh viên hỏi không được (mẫu UIT-VSFC #1716),0
Bài giảng đủ nội dung chấp nhận được (mẫu UIT-VSFC #1194),1
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #179),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #3702),2
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #1519),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #4278),2
Môn học quá khó bài tập nhiều (mẫu UIT-VSFC #1072),0
Nội dung tạm được không hay không dở (mẫu UIT-VSFC #203),1
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #6149),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #5334),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #5671),2
Đề thi khó hơn nội dung đã học (mẫu UIT-VSFC #2275),0
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #3039),2
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #6167),2
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #1794),0
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #482),2
Môn này quá nặng so với tín chỉ (mẫu UIT-VSFC #1187),0
Môn này quá nặng so với tín chỉ (mẫu UIT-VSFC #957),0
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #4615),2
Thầy dạy đủ bài không thiếu nội dung (mẫu UIT-VSFC #559),1
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #2559),0
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #2540),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #1406),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #996),2
Thầy dạy khó hiểu quá sinh viên không theo kịp (mẫu UIT-VSFC #1011),0
Giảng viên không có kỹ năng sư phạm tốt để truyền đạt kiến thức hiệu quả.,0
Giảng viên hay nghỉ học đột ngột (mẫu UIT-VSFC #2870),0
Môn này quá nặng so với tín chỉ (mẫu UIT-VSFC #2757),0
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #995),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #5321),2
Cô không giải thích rõ sinh viên hỏi không được (mẫu UIT-VSFC #746),0
Cô không giải thích rõ sinh viên hỏi không được (mẫu UIT-VSFC #2146),0
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #2190),2
Giảng viên dạy ổn theo chương trình (mẫu UIT-VSFC #382),1
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #6461),2
Môn học quá khó bài tập nhiều (mẫu UIT-VSFC #2192),0
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #1282),2
Không có gì nổi bật cũng không tệ (mẫu UIT-VSFC #1437),1
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #6064),2
Môn học rất hay và bổ ích (mẫu UIT-VSFC #5143),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #3011),2
Môn học bình thường không có gì đặc biệt (mẫu UIT-VSFC #281),1
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #2837),2
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #289),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #5831),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #6161),2
Giảng viên hay nghỉ học đột ngột (mẫu UIT-VSFC #750),0
Cô dạy bình thường đúng giáo trình (mẫu UIT-VSFC #666),1
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #2329),0
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #1832),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #4622),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #4385),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #5244),2
Môn học rất hay và bổ ích (mẫu UIT-VSFC #5783),2
Nội dung tạm được không hay không dở (mẫu UIT-VSFC #93),1
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #3477),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #234),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #5848),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #3142),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #2621),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #4756),2
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #1517),2
Môn học rất hay và bổ ích (mẫu UIT-VSFC #613),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #1056),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #6104),2
Cô không giải thích rõ sinh viên hỏi không được (mẫu UIT-VSFC #2446),0
Thầy dạy đủ bài không thiếu nội dung (mẫu UIT-VSFC #1399),1
Lớp học nóng bức không tập trung được (mẫu UIT-VSFC #1688),0
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #5846),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #5588),2
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #6489),2
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #499),0
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #5288),2
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #1149),0
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #3436),2
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #2737),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #4645),2
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #3054),0
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #2576),2
Nội dung tạm được không hay không dở (mẫu UIT-VSFC #1013),1
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #5432),2
Môn này quá nặng so với tín chỉ (mẫu UIT-VSFC #1367),0
Môn học bình thường không có gì đặc biệt (mẫu UIT-VSFC #1051),1
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #4329),2
Môn học rất hay và bổ ích (mẫu UIT-VSFC #4143),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #3334),2
"Môn học đáp ứng được yêu cầu cơ bản, không hơn không kém.",1
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #819),0
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #5950),2
Lớp học nóng bức không tập trung được (mẫu UIT-VSFC #2568),0
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #867),2
Môn học tạm ổn đáp ứng yêu cầu (mẫu UIT-VSFC #1580),1
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #1184),2
